ind,open,close,low,high,volume,ma5,kf,macd,pjsp5,pjsp5bl,lrkf
0,19069.15,18789,18678.27,19098.52,3673.633733,,B,,18818.484,0.001569216,
1,18789,18814.55,18691.19,18880.33,1460.300733,,B,,18816.938,0.000126923,BB
2,18815,18761.9,18726.69,18864.96,1261.105988,,B,,18830.97,0.003681397,BB
3,18761.9,18722.21,18606,18859.99,2286.580676,,B,,18872.076,0.008004717,BB
4,18722.2,18926.43,18722.2,18943.1,1676.631615,18802.818,B,,18852.99,-0.003880288,BC
5,18926.44,18867.33,18862.77,18975,973.667858,18818.484,C,,18839.37,-0.001481927,CB
6,18867.32,18806.82,18782.03,18914.97,930.4621027,18816.938,B,,18826.922,0.001068868,BB
7,18806.83,18832.06,18748.26,18918.01,1808.765923,18830.97,B,,18816.5,-0.000826251,BB
8,18832.07,18927.74,18818.86,18941.43,754.9068606,18872.076,B,,18699.952,-0.012034612,BB
9,18927.75,18831,18824.62,18932.11,759.1877909,18852.99,B,,18598.5,-0.012346662,BB
10,18831,18799.23,18789.22,18895.59,564.7513192,18839.37,B,,18474.882,-0.01725326,BB
11,18799.24,18744.58,18688,18849.25,1337.922926,18826.922,B,,18369.41,-0.020014852,BB
12,18744.58,18779.95,18692.92,18835.53,747.8768417,18816.5,B,,18269.96,-0.027156089,BB
13,18777.54,18345,18345,18839.86,2491.927992,18699.952,B,,18260.81,-0.004589261,BA
14,18344.01,18323.74,18181.45,18445,4169.794099,18598.5,A,,18229.318,-0.005152987,AA
15,18323.73,18181.14,18152.52,18383.81,2490.466535,18474.882,A,,18235.504,0.002990132,AA
16,18181.14,18217.22,18033,18328.51,3047.798327,18369.41,A,,18235.458,0.001001141,AB
17,18218.14,18282.7,18150,18326.69,1334.108606,18269.96,B,,18164.91,-0.006442703,BB
18,18282.7,18299.25,18223,18310.92,799.5626454,18260.81,B,,18095.63,-0.011127232,BB
19,18298.98,18166.28,18133.31,18305.53,1013.579836,18229.318,B,,18070.402,-0.0052778,BA
20,18164.4,18212.07,18063.31,18247.46,1874.191134,18235.504,A,,18073.988,-0.007581895,AB
21,18212.61,18216.99,18156.78,18279.07,1273.441589,18235.458,B,,18079.19,-0.007564367,BB
22,18217,17929.96,17873.88,18246.21,3209.104276,18164.91,B,,18139.106,0.011664611,BA
23,17929.59,17952.85,17650.15,18049.83,5306.819702,18095.63,A,,18244.536,0.016247337,AB
24,17954.7,18040.14,17916.42,18103.94,2317.677449,18070.402,B,,18326.284,0.015861518,BB
25,18040.79,18230,17978.7,18245.18,1895.384722,18073.988,B,,18349.756,0.006569172,BC
26,18230,18243,18179.51,18375.27,2108.02552,18079.19,C,,18378.954,0.007452393,CC
27,18242.99,18229.54,18210.19,18362.28,1066.704022,18139.106,C,,18393.914,0.009016903,CB
28,18229.54,18480,18168.05,18483.89,2095.626731,18244.536,B,,18336.948,-0.007740909,BC
29,18479.99,18448.88,18422.79,18520.58,1315.53499,18326.284,C,,18297.982,-0.00817925,CB
30,18448.01,18347.36,18291.17,18467.96,1011.976204,18349.756,B,,18295.978,-0.002800512,BA
31,18347.37,18388.99,18252.24,18389.06,1141.897211,18378.954,A,,18321.338,-0.00367894,AB
32,18389,18304.34,18293.03,18436.8,797.7381229,18393.914,B,,18370.974,0.003640339,BA
33,18306.53,18195.17,18161.67,18345,929.1927656,18336.948,A,76.10430401,18439.5,0.013428289,AA
34,18194.09,18254.05,18194.09,18287.74,789.7732201,18297.982,A,67.32732784,18475.938,0.012155549,AB
35,18255.78,18337.34,18211.11,18378.95,1051.176496,18295.978,B,65.41638073,18494.922,0.008593504,BC
36,18337.34,18515.79,18322.11,18550.22,1129.65891,18321.338,C,73.83289435,18469.43,-0.002503809,CC
37,18515.78,18552.52,18488.23,18609.3,952.4539274,18370.974,C,79.06873331,18440.702,-0.006027106,CC
38,18552.52,18537.8,18526.34,18637.41,819.63384,18439.5,C,78.57288324,18416.194,-0.006559894,CB
39,18539.48,18436.24,18418.98,18554.81,827.8072015,18475.938,B,68.78950539,18403.876,-0.001755456,BA
40,18436.24,18432.26,18320,18501.73,1129.335429,18494.922,A,59.76828833,18377.126,-0.002991169,AB
41,18432.28,18388.33,18355,18486.84,799.2176584,18469.43,B,49.0119463,18366.962,-0.001162041,BB
42,18388.61,18408.88,18352.02,18476.86,724.4555498,18440.702,B,41.7351816,18371.748,-0.00201707,BB
43,18408.88,18415.26,18387.27,18494.19,682.4859346,18416.194,B,36.02138937,18335.88,-0.004310555,BB
44,18415.25,18374.65,18290,18420,994.8211782,18403.876,B,28.50587239,18290.17,-0.004597639,BB
45,18375,18298.51,18284.28,18439.98,1226.678641,18377.126,B,17.9226328,18268.57,-0.001636199,BB
46,18299.9,18337.51,18291.39,18387.7,625.0871468,18366.962,B,13.27851154,18243.792,-0.005110727,BB
47,18337.51,18432.81,18321.8,18470,1025.288533,18371.748,B,16.16303715,18203.692,-0.012429901,BB
48,18432.82,18235.92,18207.73,18480.98,1686.698683,18335.88,B,4.931439141,18173.006,-0.003450004,BA
49,18235.92,18146.1,18118.99,18280,1791.764516,18290.17,A,-7.737375228,18170.768,0.001359411,AA
50,18146.09,18190.51,18118.99,18255.95,966.895015,18268.57,A,-12.05900873,18167.89,-0.001243506,AB
51,18190.51,18213.62,18166.03,18288,873.4488321,18243.792,B,-12.25407512,18167.134,-0.002552266,BB
52,18213.62,18232.31,18047.23,18249.86,2140.599867,18203.692,B,-10.10660805,18175.54,-0.003113703,BB
53,18232.32,18082.49,18041.77,18249.91,1625.695356,18173.006,B,-17.33433969,18239.762,0.008697475,BA
54,18082.5,18134.91,17911,18156.34,2327.235978,18170.768,A,-17.11338182,18285.646,0.008311924,AB
55,18133.38,18176.12,18092.96,18225,1511.140682,18167.89,B,-12.9117038,18320.664,0.007952412,BB
56,18176.12,18209.84,18079.62,18217.46,861.4348301,18167.134,B,-6.883812322,18344.152,0.007375792,BC
57,18212.98,18274.34,18193.28,18318.53,1250.554257,18175.54,C,1.952719623,18340.168,0.003602209,CC
58,18274.33,18403.6,18224.08,18406.56,978.5163815,18239.762,C,16.21480866,18262.698,-0.007656219,CC
59,18403.61,18364.33,18341.3,18436.38,694.0350868,18285.646,C,22.33774179,18169.834,-0.010590966,CC
